date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:32:49	45/45	---MCZ	200	added ('OK')	text/plain	etag:W/%22670667a1-19%22	https://12.trendndaily.com/robots.txt		(from )
22:32:49	22633/22633	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2003:32:50%20GMT	https://12.trendndaily.com/?cid=zqkxq-1682&t1=3554&t2=&t3=6709ed5b4f222c00015a84c1&t4=u100358&t5=&t6={aff_sub6}&t7={aff_sub7}&t8=TnD1000Cashapp&transaction_id=102777ea6529dd4f3ceb6a05861db1&email={email}&userFname={first_name}&last={last_name}&userAddress={address}&cityName={cityName}&stateName={state}&stateCode={state_code}&zipcode={zip}&countryName={country}&mobile={phone}&dobdate={dobdate}&dobmonth={dobmonth}&dobyear={dobyear}&gender={gender}&isr=true&sessionid=4303343f-d4bc-4043-8bb6-ac5050129fd1	C:/My%20Web%20Sites/freebobyuxr/12.trendndaily.com/indexe5c3.html	(from )
22:32:49	352/352	---M--	200	added ('OK')	image/png	etag:%2266ffeac3-310%22	https://assets.trendndaily.com/images/asts-fevicon.png	C:/My%20Web%20Sites/freebobyuxr/assets.trendndaily.com/images/asts-fevicon.png	(from https://12.trendndaily.com/?cid=zqkxq-1682&t1=3554&t2=&t3=6709ed5b4f222c00015a84c1&t4=u100358&t5=&t6={aff_sub6}&t7={aff_sub7}&t8=TnD1000Cashapp&transaction_id=102777ea6529dd4f3ceb6a05861db1&email={email}&userFname={first_name}&last={last_name}&userAddress={address}&cityName={cityName}&stateName={state}&stateCode={state_code}&zipcode={zip}&countryName={country}&mobile={phone}&dobdate={dobdate}&dobmonth={dobmonth}&dobyear={dobyear}&gender={gender}&isr=true&sessionid=4303343f-d4bc-4043-8bb6-ac5050129fd1)
22:32:50	70/70	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Oct%202024%2003:32:51%20GMT	https://12.trendndaily.com/event/image.png?eventType=section&eventName=imp&eventValue=registration&theme=3	C:/My%20Web%20Sites/freebobyuxr/12.trendndaily.com/event/image2182.png	(from https://12.trendndaily.com/?cid=zqkxq-1682&t1=3554&t2=&t3=6709ed5b4f222c00015a84c1&t4=u100358&t5=&t6={aff_sub6}&t7={aff_sub7}&t8=TnD1000Cashapp&transaction_id=102777ea6529dd4f3ceb6a05861db1&email={email}&userFname={first_name}&last={last_name}&userAddress={address}&cityName={cityName}&stateName={state}&stateCode={state_code}&zipcode={zip}&countryName={country}&mobile={phone}&dobdate={dobdate}&dobmonth={dobmonth}&dobyear={dobyear}&gender={gender}&isr=true&sessionid=4303343f-d4bc-4043-8bb6-ac5050129fd1)
22:32:50	70/70	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Oct%202024%2003:32:51%20GMT	https://12.trendndaily.com/event/image.png?eventType=page&eventName=imp&eventValue=landing&theme=3	C:/My%20Web%20Sites/freebobyuxr/12.trendndaily.com/event/image7761.png	(from https://12.trendndaily.com/?cid=zqkxq-1682&t1=3554&t2=&t3=6709ed5b4f222c00015a84c1&t4=u100358&t5=&t6={aff_sub6}&t7={aff_sub7}&t8=TnD1000Cashapp&transaction_id=102777ea6529dd4f3ceb6a05861db1&email={email}&userFname={first_name}&last={last_name}&userAddress={address}&cityName={cityName}&stateName={state}&stateCode={state_code}&zipcode={zip}&countryName={country}&mobile={phone}&dobdate={dobdate}&dobmonth={dobmonth}&dobyear={dobyear}&gender={gender}&isr=true&sessionid=4303343f-d4bc-4043-8bb6-ac5050129fd1)
22:32:50	49516/49516	---MCZ	200	added ('OK')	text/css	etag:W/%2266ffeac3-c160%22	https://assets.trendndaily.com/css/pubgiveaway-cta-processing.css	C:/My%20Web%20Sites/freebobyuxr/assets.trendndaily.com/css/pubgiveaway-cta-processing.css	(from https://12.trendndaily.com/?cid=zqkxq-1682&t1=3554&t2=&t3=6709ed5b4f222c00015a84c1&t4=u100358&t5=&t6={aff_sub6}&t7={aff_sub7}&t8=TnD1000Cashapp&transaction_id=102777ea6529dd4f3ceb6a05861db1&email={email}&userFname={first_name}&last={last_name}&userAddress={address}&cityName={cityName}&stateName={state}&stateCode={state_code}&zipcode={zip}&countryName={country}&mobile={phone}&dobdate={dobdate}&dobmonth={dobmonth}&dobyear={dobyear}&gender={gender}&isr=true&sessionid=4303343f-d4bc-4043-8bb6-ac5050129fd1)
22:32:50	70/70	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Oct%202024%2003:32:51%20GMT	https://12.trendndaily.com/event/image.png?eventType=page-ab&eventName=imp&eventValue=TnD-Default-Publisher-Flow-V2-90-Day-CW&eventData=zqkxq-1682	C:/My%20Web%20Sites/freebobyuxr/12.trendndaily.com/event/imagee2c6.png	(from https://12.trendndaily.com/?cid=zqkxq-1682&t1=3554&t2=&t3=6709ed5b4f222c00015a84c1&t4=u100358&t5=&t6={aff_sub6}&t7={aff_sub7}&t8=TnD1000Cashapp&transaction_id=102777ea6529dd4f3ceb6a05861db1&email={email}&userFname={first_name}&last={last_name}&userAddress={address}&cityName={cityName}&stateName={state}&stateCode={state_code}&zipcode={zip}&countryName={country}&mobile={phone}&dobdate={dobdate}&dobmonth={dobmonth}&dobyear={dobyear}&gender={gender}&isr=true&sessionid=4303343f-d4bc-4043-8bb6-ac5050129fd1)
22:32:50	2162/2162	---M--	200	added ('OK')	image/png	etag:%2266ffeac3-892%22	https://assets.trendndaily.com/images/dynamic-templating/tnd_shoes/ls-icon.png	C:/My%20Web%20Sites/freebobyuxr/assets.trendndaily.com/images/dynamic-templating/tnd_shoes/ls-icon.png	(from https://12.trendndaily.com/?cid=zqkxq-1682&t1=3554&t2=&t3=6709ed5b4f222c00015a84c1&t4=u100358&t5=&t6={aff_sub6}&t7={aff_sub7}&t8=TnD1000Cashapp&transaction_id=102777ea6529dd4f3ceb6a05861db1&email={email}&userFname={first_name}&last={last_name}&userAddress={address}&cityName={cityName}&stateName={state}&stateCode={state_code}&zipcode={zip}&countryName={country}&mobile={phone}&dobdate={dobdate}&dobmonth={dobmonth}&dobyear={dobyear}&gender={gender}&isr=true&sessionid=4303343f-d4bc-4043-8bb6-ac5050129fd1)
22:32:51	321/321	---M--	200	added ('OK')	image/png	etag:%2266ffeac3-1e1%22	https://assets.trendndaily.com/images/dynamic-templating/tnd_shoes/tick.png	C:/My%20Web%20Sites/freebobyuxr/assets.trendndaily.com/images/dynamic-templating/tnd_shoes/tick.png	(from https://12.trendndaily.com/?cid=zqkxq-1682&t1=3554&t2=&t3=6709ed5b4f222c00015a84c1&t4=u100358&t5=&t6={aff_sub6}&t7={aff_sub7}&t8=TnD1000Cashapp&transaction_id=102777ea6529dd4f3ceb6a05861db1&email={email}&userFname={first_name}&last={last_name}&userAddress={address}&cityName={cityName}&stateName={state}&stateCode={state_code}&zipcode={zip}&countryName={country}&mobile={phone}&dobdate={dobdate}&dobmonth={dobmonth}&dobyear={dobyear}&gender={gender}&isr=true&sessionid=4303343f-d4bc-4043-8bb6-ac5050129fd1)
22:32:51	69800/69800	---M--	200	added ('OK')	image/png	etag:%22fa33fef139f325dfb77353c8b666cd0b%22	https://assets.trendndaily.com/creatives/uc/branding/29/TnD1000Cashapp/default/tnd1000cashapp.png	C:/My%20Web%20Sites/freebobyuxr/assets.trendndaily.com/creatives/uc/branding/29/TnD1000Cashapp/default/tnd1000cashapp.png	(from https://12.trendndaily.com/?cid=zqkxq-1682&t1=3554&t2=&t3=6709ed5b4f222c00015a84c1&t4=u100358&t5=&t6={aff_sub6}&t7={aff_sub7}&t8=TnD1000Cashapp&transaction_id=102777ea6529dd4f3ceb6a05861db1&email={email}&userFname={first_name}&last={last_name}&userAddress={address}&cityName={cityName}&stateName={state}&stateCode={state_code}&zipcode={zip}&countryName={country}&mobile={phone}&dobdate={dobdate}&dobmonth={dobmonth}&dobyear={dobyear}&gender={gender}&isr=true&sessionid=4303343f-d4bc-4043-8bb6-ac5050129fd1)
22:32:51	29298/29298	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2012%20Oct%202024%2003:32:52%20GMT	https://12.trendndaily.com/js/config.js	C:/My%20Web%20Sites/freebobyuxr/12.trendndaily.com/js/config.js	(from https://12.trendndaily.com/?cid=zqkxq-1682&t1=3554&t2=&t3=6709ed5b4f222c00015a84c1&t4=u100358&t5=&t6={aff_sub6}&t7={aff_sub7}&t8=TnD1000Cashapp&transaction_id=102777ea6529dd4f3ceb6a05861db1&email={email}&userFname={first_name}&last={last_name}&userAddress={address}&cityName={cityName}&stateName={state}&stateCode={state_code}&zipcode={zip}&countryName={country}&mobile={phone}&dobdate={dobdate}&dobmonth={dobmonth}&dobyear={dobyear}&gender={gender}&isr=true&sessionid=4303343f-d4bc-4043-8bb6-ac5050129fd1)
22:32:51	36309/36309	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ffeac3-b62e%22	https://assets.trendndaily.com/js/leadgen.js	C:/My%20Web%20Sites/freebobyuxr/assets.trendndaily.com/js/leadgen.js	(from https://12.trendndaily.com/?cid=zqkxq-1682&t1=3554&t2=&t3=6709ed5b4f222c00015a84c1&t4=u100358&t5=&t6={aff_sub6}&t7={aff_sub7}&t8=TnD1000Cashapp&transaction_id=102777ea6529dd4f3ceb6a05861db1&email={email}&userFname={first_name}&last={last_name}&userAddress={address}&cityName={cityName}&stateName={state}&stateCode={state_code}&zipcode={zip}&countryName={country}&mobile={phone}&dobdate={dobdate}&dobmonth={dobmonth}&dobyear={dobyear}&gender={gender}&isr=true&sessionid=4303343f-d4bc-4043-8bb6-ac5050129fd1)
22:32:52	104291/104291	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ffeac3-20c84%22	https://assets.trendndaily.com/js/app.js	C:/My%20Web%20Sites/freebobyuxr/assets.trendndaily.com/js/app.js	(from https://12.trendndaily.com/?cid=zqkxq-1682&t1=3554&t2=&t3=6709ed5b4f222c00015a84c1&t4=u100358&t5=&t6={aff_sub6}&t7={aff_sub7}&t8=TnD1000Cashapp&transaction_id=102777ea6529dd4f3ceb6a05861db1&email={email}&userFname={first_name}&last={last_name}&userAddress={address}&cityName={cityName}&stateName={state}&stateCode={state_code}&zipcode={zip}&countryName={country}&mobile={phone}&dobdate={dobdate}&dobmonth={dobmonth}&dobyear={dobyear}&gender={gender}&isr=true&sessionid=4303343f-d4bc-4043-8bb6-ac5050129fd1)
22:32:52	43708/43708	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ffeac3-e0d6%22	https://assets.trendndaily.com/js/lander.js	C:/My%20Web%20Sites/freebobyuxr/assets.trendndaily.com/js/lander.js	(from https://12.trendndaily.com/?cid=zqkxq-1682&t1=3554&t2=&t3=6709ed5b4f222c00015a84c1&t4=u100358&t5=&t6={aff_sub6}&t7={aff_sub7}&t8=TnD1000Cashapp&transaction_id=102777ea6529dd4f3ceb6a05861db1&email={email}&userFname={first_name}&last={last_name}&userAddress={address}&cityName={cityName}&stateName={state}&stateCode={state_code}&zipcode={zip}&countryName={country}&mobile={phone}&dobdate={dobdate}&dobmonth={dobmonth}&dobyear={dobyear}&gender={gender}&isr=true&sessionid=4303343f-d4bc-4043-8bb6-ac5050129fd1)
22:32:52	60083/60083	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ffeac3-13175%22	https://assets.trendndaily.com/js/register.js	C:/My%20Web%20Sites/freebobyuxr/assets.trendndaily.com/js/register.js	(from https://12.trendndaily.com/?cid=zqkxq-1682&t1=3554&t2=&t3=6709ed5b4f222c00015a84c1&t4=u100358&t5=&t6={aff_sub6}&t7={aff_sub7}&t8=TnD1000Cashapp&transaction_id=102777ea6529dd4f3ceb6a05861db1&email={email}&userFname={first_name}&last={last_name}&userAddress={address}&cityName={cityName}&stateName={state}&stateCode={state_code}&zipcode={zip}&countryName={country}&mobile={phone}&dobdate={dobdate}&dobmonth={dobmonth}&dobyear={dobyear}&gender={gender}&isr=true&sessionid=4303343f-d4bc-4043-8bb6-ac5050129fd1)
